Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1,correctness
72,0.7559814453125,0.0035400390625,0.6721581353081597,63.38,4.275468279819231,0,0.0,0.0,0.0,0.0,0.0,True
68,0.760498046875,0.0018310546875,0.6681572409237132,59.16,4.217967589991092,0,0.0,0.0,0.0,0.0,0.0,True
70,0.768310546875,0.0020751953125,0.66776123046875,60.28,4.246758858175425,0,0.0,0.0,0.0,0.0,0.0,False
84,0.767822265625,0.0152587890625,0.6723095121837798,72.92,4.429401535792682,0,0.0,0.0,0.0,0.0,0.0,False
80,0.7552490234375,0.0047607421875,0.6799972534179688,71.44,4.3806205075950135,0,0.0,0.0,0.0,0.0,0.0,False
74,0.76025390625,0.0029296875,0.6806805584881757,65.74,4.302645257190517,0,0.0,0.0,0.0,0.0,0.0,False
112,0.76513671875,0.0074462890625,0.6805354527064732,98.74,4.717246194289199,0,0.0,0.0,0.0,0.0,0.0,True
91,0.7669677734375,0.00146484375,0.6788034963083791,79.84,4.509469154314773,0,0.0,0.0,0.0,0.0,0.0,True
67,0.76025390625,0.001220703125,0.6728734258395522,58.72,4.203372175145532,0,0.0,0.0,0.0,0.0,0.0,True
79,0.7760009765625,0.0028076171875,0.6762741668314873,68.26,4.367859806522683,0,0.0,0.0,0.0,0.0,0.0,False
102,0.775634765625,0.0001220703125,0.6796168907015931,88.56,4.623487767343005,0,0.0,0.0,0.0,0.0,0.0,False
78,0.7774658203125,0.012939453125,0.6826829176682693,67.98,4.3552799802775155,0,0.0,0.0,0.0,0.0,0.0,False
139,0.829833984375,0.039306640625,0.6943684310364209,115.3,4.932992235487649,0,0.0,0.0,0.0,0.0,0.0,False
77,0.7706298828125,0.0107421875,0.686333198051948,67.94,4.342308975082785,0,0.0,0.0,0.0,0.0,0.0,False
62,0.7620849609375,0.00732421875,0.6858185798891129,55.2,4.125701073844968,0,0.0,0.0,0.0,0.0,0.0,False
78,0.758544921875,0.001953125,0.6965785882411859,71.0,4.355192666854242,0,0.0,0.0,0.0,0.0,0.0,False
67,0.7620849609375,0.0059814453125,0.6757612086054104,58.92,4.203163446305796,0,0.0,0.0,0.0,0.0,0.0,False
74,0.76806640625,0.01611328125,0.6800009237753378,64.92,4.302738606093172,0,0.0,0.0,0.0,0.0,0.0,False
101,0.7730712890625,0.0074462890625,0.6883279026144802,89.2,4.6138930497543855,0,0.0,0.0,0.0,0.0,0.0,False
65,0.75048828125,0.00244140625,0.6767765925480769,58.06,4.173165634768049,0,0.0,0.0,0.0,0.0,0.0,False
79,0.7529296875,0.000732421875,0.6825739220727848,70.94,4.3681725278228845,0,0.0,0.0,0.0,0.0,0.0,True
89,0.765625,0.0006103515625,0.6871941384304775,79.12,4.487551882764037,0,0.0,0.0,0.0,0.0,0.0,False
100,0.7783203125,0.0174560546875,0.691885986328125,88.18,4.603822538507487,0,0.0,0.0,0.0,0.0,0.0,True
107,0.7659912109375,0.0035400390625,0.6880784079293224,95.28,4.671507198596345,0,0.0,0.0,0.0,0.0,0.0,False
106,0.7666015625,0.0025634765625,0.6819319815005896,93.42,4.662070710576681,0,0.0,0.0,0.0,0.0,0.0,True
83,0.7845458984375,0.005615234375,0.6850644766566265,71.9,4.417415320141527,0,0.0,0.0,0.0,0.0,0.0,True
65,0.759521484375,0.0047607421875,0.6814058743990384,57.74,4.172834692691482,0,0.0,0.0,0.0,0.0,0.0,False
107,0.781494140625,0.012939453125,0.7041985342435748,95.6,4.671415630042135,0,0.0,0.0,0.0,0.0,0.0,False
81,0.749267578125,0.00390625,0.6803656684027778,72.86,4.39313492345132,0,0.0,0.0,0.0,0.0,0.0,True
60,0.764892578125,0.0133056640625,0.6672871907552084,51.86,4.093106290235845,0,0.0,0.0,0.0,0.0,0.0,True
110,0.7872314453125,0.0201416015625,0.6907215465198864,95.68,4.699203501625857,0,0.0,0.0,0.0,0.0,0.0,False
118,0.7667236328125,0.0048828125,0.6903552039194916,105.32,4.7695086298827825,0,0.0,0.0,0.0,0.0,0.0,False
75,0.76708984375,0.014404296875,0.6865755208333333,66.56,4.316345246550392,0,0.0,0.0,0.0,0.0,0.0,True
99,0.783203125,0.0087890625,0.699166962594697,87.6,4.593665126665593,0,0.0,0.0,0.0,0.0,0.0,False
84,0.7548828125,0.004150390625,0.6822800409226191,75.22,4.429629479946893,0,0.0,0.0,0.0,0.0,0.0,False
62,0.75830078125,0.00439453125,0.6755134828629032,54.74,4.125895945928637,0,0.0,0.0,0.0,0.0,0.0,False
81,0.7734375,0.007080078125,0.6809066960841049,70.7,4.393141982433898,0,0.0,0.0,0.0,0.0,0.0,False
105,0.7938232421875,0.0111083984375,0.7034342447916667,92.24,4.652062061957704,0,0.0,0.0,0.0,0.0,0.0,False
76,0.76708984375,0.0069580078125,0.6876590126439145,67.56,4.329019004538165,0,0.0,0.0,0.0,0.0,0.0,False
136,0.7803955078125,0.0047607421875,0.6900706571691176,119.2,4.911275771222613,0,0.0,0.0,0.0,0.0,0.0,False
112,0.7647705078125,0.008056640625,0.6757692609514508,98.08,4.717354152689421,0,0.0,0.0,0.0,0.0,0.0,False
70,0.7677001953125,0.013427734375,0.6733433314732142,60.86,4.2474983861239375,0,0.0,0.0,0.0,0.0,0.0,False
85,0.762451171875,0.0079345703125,0.6823084214154411,75.34,4.441374249981329,0,0.0,0.0,0.0,0.0,0.0,False
61,0.7666015625,0.006591796875,0.6738021100153688,53.14,4.109137786346638,0,0.0,0.0,0.0,0.0,0.0,False
88,0.7677001953125,0.0125732421875,0.6788094260475852,77.18,4.476111198581864,0,0.0,0.0,0.0,0.0,0.0,True
69,0.7689208984375,0.0072021484375,0.6676449983016305,59.42,4.232735988599691,0,0.0,0.0,0.0,0.0,0.0,False
64,0.7559814453125,0.0115966796875,0.6738071441650391,56.56,4.157533373471875,0,0.0,0.0,0.0,0.0,0.0,False
62,0.7579345703125,0.0181884765625,0.6693331810735887,54.32,4.1255925372841995,0,0.0,0.0,0.0,0.0,0.0,False
102,0.7708740234375,0.0096435546875,0.6793942918964461,89.1,4.623920740258983,0,0.0,0.0,0.0,0.0,0.0,False
60,0.76953125,0.011474609375,0.6738972981770833,52.14,4.092953764618731,0,0.0,0.0,0.0,0.0,0.0,False
60,0.7562255859375,0.000732421875,0.6724161783854167,52.88,4.093053779490654,0,0.0,0.0,0.0,0.0,0.0,False
68,0.78662109375,0.012451171875,0.6787504308363971,58.14,4.217889052611461,0,0.0,0.0,0.0,0.0,0.0,True
94,0.7750244140625,0.004150390625,0.6901128241356383,82.9,4.54200041107041,0,0.0,0.0,0.0,0.0,0.0,False
106,0.7646484375,0.0015869140625,0.6972702314268868,95.78,4.66210124096763,0,0.0,0.0,0.0,0.0,0.0,False
97,0.7796630859375,0.0130615234375,0.6927955863402062,85.5,4.573467163998988,0,0.0,0.0,0.0,0.0,0.0,False
63,0.765869140625,0.0078125,0.6740993923611112,54.96,4.141782663491052,0,0.0,0.0,0.0,0.0,0.0,True
72,0.7506103515625,0.0008544921875,0.6791907416449653,64.56,4.275316358622713,0,0.0,0.0,0.0,0.0,0.0,False
89,0.7779541015625,0.0001220703125,0.7037339799859551,79.74,4.487112909009922,0,0.0,0.0,0.0,0.0,0.0,True
91,0.783935546875,0.0086669921875,0.7096738710508241,81.68,4.509202234835529,0,0.0,0.0,0.0,0.0,0.0,False
100,0.7884521484375,0.0096435546875,0.70169677734375,88.22,4.6032756455399735,0,0.0,0.0,0.0,0.0,0.0,False
93,0.7635498046875,0.0040283203125,0.677166026125672,81.7,4.531184343786843,0,0.0,0.0,0.0,0.0,0.0,False
90,0.7607421875,0.004150390625,0.6903238932291667,80.94,4.498561682318245,0,0.0,0.0,0.0,0.0,0.0,False
95,0.76708984375,0.0018310546875,0.694664884868421,85.2,4.552585529886167,0,0.0,0.0,0.0,0.0,0.0,False
83,0.7615966796875,0.0048828125,0.6851233057228916,74.04,4.4176845605055375,0,0.0,0.0,0.0,0.0,0.0,False
87,0.7713623046875,0.005615234375,0.6986420730064655,78.06,4.464621120337604,0,0.0,0.0,0.0,0.0,0.0,True
61,0.77783203125,0.014892578125,0.6745445376536885,52.48,4.109453510070007,0,0.0,0.0,0.0,0.0,0.0,False
85,0.7635498046875,0.0059814453125,0.6939252068014706,76.54,4.44117243716851,0,0.0,0.0,0.0,0.0,0.0,False
57,0.763427734375,0.0025634765625,0.6714616742050439,49.6,4.0417265368515505,0,0.0,0.0,0.0,0.0,0.0,True
63,0.737060546875,0.003662109375,0.6741923983134921,57.06,4.141907553605497,0,0.0,0.0,0.0,0.0,0.0,False
78,0.7601318359375,0.0079345703125,0.6824622521033654,69.46,4.35570805210564,0,0.0,0.0,0.0,0.0,0.0,False
56,0.74560546875,0.00048828125,0.6717921665736607,49.98,4.023851880805507,0,0.0,0.0,0.0,0.0,0.0,False
91,0.7674560546875,0.0126953125,0.6871887877747253,80.76,4.509605895488615,0,0.0,0.0,0.0,0.0,0.0,False
102,0.772705078125,0.0040283203125,0.6922727098651961,90.58,4.623515279983208,0,0.0,0.0,0.0,0.0,0.0,False
114,0.7894287109375,0.00927734375,0.7018379077576754,100.38,4.7347596867236375,0,0.0,0.0,0.0,0.0,0.0,False
169,0.783203125,0.013427734375,0.7061955378605769,151.08,5.128386501794289,0,0.0,0.0,0.0,0.0,0.0,True
76,0.7635498046875,0.0020751953125,0.6784330669202303,66.96,4.329429277279396,0,0.0,0.0,0.0,0.0,0.0,True
76,0.7584228515625,0.0106201171875,0.6816036826685855,67.64,4.32928469723713,0,0.0,0.0,0.0,0.0,0.0,False
99,0.7652587890625,0.0140380859375,0.6808995718907829,87.36,4.593618298941207,0,0.0,0.0,0.0,0.0,0.0,False
96,0.7603759765625,0.0106201171875,0.6823081970214844,85.36,4.563073216766195,0,0.0,0.0,0.0,0.0,0.0,False
107,0.7686767578125,0.00048828125,0.6997150171582944,96.52,4.671562159265414,0,0.0,0.0,0.0,0.0,0.0,False
