,num_tokens,num_types,avg_word_length,char_count,ttr,cttr,herdan_c,simpson_div,yules_k,num_content_words,lexical_density,avg_polysemy,num_long_words,long_word_ratio,hapax_legomena,hapax_ratio,num_stopwords,stopword_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,entropy,top_word_freq,unique_bigram_approx
0,53,34,4.09433962264151,217,0.6415094339622641,3.3023719320146983,0.8881867130674566,0.9526521893912424,284.7988608045568,26,0.49056603773584906,11.05,6,0.11320754716981132,25,0.4716981132075472,27,0.5094339622641509,0.3584905660377358,0.09433962264150944,0.03773584905660377,0.018867924528301886,4.786106360961431,7,52
1,46,36,4.282608695652174,197,0.782608695652174,3.753259453027346,0.9359766474191693,0.9640831758034026,141.77693761814746,25,0.5434782608695652,16.0,9,0.1956521739130435,30,0.6521739130434783,21,0.45652173913043476,0.2826086956521739,0.21739130434782608,0.021739130434782608,0.0,5.012479890745556,4,45
2,181,107,4.292817679558011,777,0.5911602209944752,5.6237951441357135,0.8988807354044173,0.9778089801898598,166.66157931687067,94,0.5193370165745856,10.405797101449275,25,0.13812154696132597,83,0.4585635359116022,87,0.48066298342541436,0.2541436464088398,0.17679558011049723,0.06629834254143646,0.03867403314917127,6.216237912369668,15,180
3,157,94,4.554140127388535,715,0.5987261146496815,5.304726891041144,0.8985510113974832,0.9786198223051644,150.10750943243133,82,0.5222929936305732,10.757575757575758,32,0.20382165605095542,72,0.4585987261146497,75,0.47770700636942676,0.25477707006369427,0.1910828025477707,0.08280254777070063,0.01910828025477707,6.109988444176922,10,156
4,254,134,4.1141732283464565,1045,0.5275590551181102,5.945288613087962,0.8845122154036137,0.9806559613119227,154.07030814061628,132,0.5196850393700787,12.458333333333334,37,0.14566929133858267,96,0.3779527559055118,122,0.48031496062992124,0.22440944881889763,0.19291338582677164,0.05905511811023622,0.07480314960629922,6.463783657797005,17,253
5,174,82,4.471264367816092,778,0.47126436781609193,4.395661392834959,0.8541717410811976,0.9716607213634563,225.92152199762188,95,0.5459770114942529,13.236363636363636,27,0.15517241379310345,52,0.2988505747126437,79,0.4540229885057471,0.3103448275862069,0.13218390804597702,0.06321839080459771,0.05172413793103448,5.778741882252845,14,173
6,43,29,3.86046511627907,166,0.6744186046511628,3.127150422899714,0.8952716490506508,0.952947539210384,237.96646836127636,22,0.5116279069767442,17.789473684210527,3,0.06976744186046512,21,0.4883720930232558,21,0.4883720930232558,0.23255813953488372,0.23255813953488372,0.023255813953488372,0.046511627906976744,4.646967661578215,4,42
7,151,93,4.6092715231788075,696,0.6158940397350994,5.351548640130455,0.9033977853686245,0.9832024911188106,101.74992324898031,95,0.6291390728476821,11.279411764705882,29,0.19205298013245034,67,0.44370860927152317,56,0.3708609271523179,0.32450331125827814,0.23178807947019867,0.11920529801324503,0.046357615894039736,6.236758634369955,7,150
8,177,110,4.593220338983051,813,0.6214689265536724,5.846434037980073,0.908103630815006,0.9826678157617542,116.82466724121421,95,0.536723163841808,10.397260273972602,45,0.2542372881355932,82,0.4632768361581921,82,0.4632768361581921,0.2768361581920904,0.192090395480226,0.07909604519774012,0.01694915254237288,6.388569138927311,11,176
9,160,87,4.4,704,0.54375,4.863447851062042,0.8799517575633669,0.9514062500000001,423.4375,95,0.59375,9.46376811594203,26,0.1625,69,0.43125,65,0.40625,0.4,0.10625,0.08125,0.025,5.6084540807880865,29,159
10,168,96,4.642857142857143,780,0.5714285714285714,5.237229365663818,0.8907845975918441,0.9776785714285715,163.6904761904762,90,0.5357142857142857,12.11111111111111,33,0.19642857142857142,66,0.39285714285714285,78,0.4642857142857143,0.2857142857142857,0.15476190476190477,0.10119047619047619,0.05952380952380952,6.140206060524962,16,167
11,73,50,4.219178082191781,308,0.684931506849315,4.13802944301184,0.9117958249201041,0.9619065490711202,243.94820791893414,38,0.5205479452054794,15.714285714285714,5,0.0684931506849315,41,0.5616438356164384,35,0.4794520547945205,0.273972602739726,0.136986301369863,0.0821917808219178,0.0410958904109589,5.274838428476308,9,72
